record_id,operation_date,site_id,site_name,business_unit,site_type,country,throughput_value,throughput_unit,throughput_target,uptime_pct,energy_consumed_mwh,emissions_tco2e,outage_flag,latitude,longitude
73,2026-01-12,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.1,kbbl/d,42.0,97.67,134.4,18.78,0,4.78,113.1
74,2026-01-13,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.26,kbbl/d,42.0,96.44,154.7,20.32,0,4.78,113.1
75,2026-01-14,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.57,kbbl/d,42.0,96.34,134.2,17.1,0,4.78,113.1
76,2026-01-15,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.31,kbbl/d,42.0,95.43,166.7,18.28,0,4.78,113.1
77,2026-01-16,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.71,kbbl/d,42.0,98.38,134.5,17.57,0,4.78,113.1
78,2026-01-17,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.42,kbbl/d,42.0,91.27,169.7,18.15,0,4.78,113.1
79,2026-01-18,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.03,kbbl/d,42.0,99.32,105.1,18.11,0,4.78,113.1
80,2026-01-19,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.96,kbbl/d,42.0,93.28,131.9,16.53,0,4.78,113.1
81,2026-01-20,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.34,kbbl/d,42.0,94.72,173.3,17.79,0,4.78,113.1
82,2026-01-21,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.01,kbbl/d,42.0,92.95,157.2,17.96,0,4.78,113.1
83,2026-01-22,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.6,kbbl/d,42.0,96.13,111.9,15.72,0,4.78,113.1
84,2026-01-23,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,35.87,kbbl/d,42.0,91.67,119.4,16.56,0,4.78,113.1
85,2026-01-24,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.12,kbbl/d,42.0,97.23,146.9,17.98,0,4.78,113.1
86,2026-01-25,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.81,kbbl/d,42.0,100.0,118.9,19.42,0,4.78,113.1
87,2026-01-26,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.55,kbbl/d,42.0,96.62,154.0,17.83,0,4.78,113.1
88,2026-01-27,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.18,kbbl/d,42.0,98.08,165.6,21.33,0,4.78,113.1
89,2026-01-28,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.42,kbbl/d,42.0,94.23,181.7,19.52,0,4.78,113.1
90,2026-01-29,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.84,kbbl/d,42.0,91.77,166.8,18.33,0,4.78,113.1
91,2026-01-30,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.9,kbbl/d,42.0,96.33,116.5,17.99,0,4.78,113.1
92,2026-01-31,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.65,kbbl/d,42.0,93.0,100.0,16.22,0,4.78,113.1
93,2026-02-01,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.16,kbbl/d,42.0,96.01,140.2,16.35,0,4.78,113.1
94,2026-02-02,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.17,kbbl/d,42.0,95.13,123.2,16.87,0,4.78,113.1
95,2026-02-03,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.15,kbbl/d,42.0,92.8,124.1,18.07,0,4.78,113.1
96,2026-02-04,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.52,kbbl/d,42.0,94.82,135.4,16.84,0,4.78,113.1
97,2026-02-05,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.13,kbbl/d,42.0,91.83,168.8,19.7,0,4.78,113.1
98,2026-02-06,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.17,kbbl/d,42.0,96.43,121.1,17.49,0,4.78,113.1
99,2026-02-07,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,36.25,kbbl/d,42.0,93.33,115.0,16.9,0,4.78,113.1
100,2026-02-08,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.67,kbbl/d,42.0,97.9,144.8,15.76,0,4.78,113.1
101,2026-02-09,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.96,kbbl/d,42.0,98.89,107.2,19.42,0,4.78,113.1
102,2026-02-10,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.41,kbbl/d,42.0,95.7,115.2,17.12,0,4.78,113.1
103,2026-02-11,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.82,kbbl/d,42.0,96.67,159.4,19.11,0,4.78,113.1
104,2026-02-12,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.96,kbbl/d,42.0,96.91,184.3,17.88,0,4.78,113.1
105,2026-02-13,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.45,kbbl/d,42.0,96.72,161.5,20.07,0,4.78,113.1
106,2026-02-14,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.33,kbbl/d,42.0,96.63,105.5,17.83,0,4.78,113.1
107,2026-02-15,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.88,kbbl/d,42.0,96.96,151.6,18.43,0,4.78,113.1
108,2026-02-16,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,36.74,kbbl/d,42.0,93.23,152.1,18.07,0,4.78,113.1
109,2026-02-17,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,36.44,kbbl/d,42.0,93.89,113.8,16.98,0,4.78,113.1
110,2026-02-18,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,36.54,kbbl/d,42.0,93.32,141.8,16.86,0,4.78,113.1
111,2026-02-19,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.34,kbbl/d,42.0,98.87,182.1,19.89,0,4.78,113.1
112,2026-02-20,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.97,kbbl/d,42.0,100.0,137.5,17.96,0,4.78,113.1
113,2026-02-21,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.31,kbbl/d,42.0,96.03,165.1,18.83,0,4.78,113.1
114,2026-02-22,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,44.17,kbbl/d,42.0,99.92,172.9,19.62,0,4.78,113.1
115,2026-02-23,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.15,kbbl/d,42.0,95.61,131.2,20.61,0,4.78,113.1
116,2026-02-24,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.86,kbbl/d,42.0,93.82,124.1,19.68,0,4.78,113.1
117,2026-02-25,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.95,kbbl/d,42.0,96.75,161.8,16.2,0,4.78,113.1
118,2026-02-26,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,36.74,kbbl/d,42.0,94.6,154.4,15.48,0,4.78,113.1
119,2026-02-27,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.76,kbbl/d,42.0,94.92,132.8,20.22,0,4.78,113.1
120,2026-02-28,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.4,kbbl/d,42.0,96.42,115.9,20.39,0,4.78,113.1
121,2026-03-01,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.35,kbbl/d,42.0,96.83,164.4,19.61,0,4.78,113.1
122,2026-03-02,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.83,kbbl/d,42.0,96.77,150.8,16.8,0,4.78,113.1
123,2026-03-03,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.9,kbbl/d,42.0,95.41,142.1,17.69,0,4.78,113.1
124,2026-03-04,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.27,kbbl/d,42.0,94.58,114.9,15.91,0,4.78,113.1
125,2026-03-05,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.4,kbbl/d,42.0,99.88,140.7,18.66,0,4.78,113.1
126,2026-03-06,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.24,kbbl/d,42.0,97.08,188.1,19.1,0,4.78,113.1
127,2026-03-07,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.04,kbbl/d,42.0,99.29,112.8,16.61,0,4.78,113.1
128,2026-03-08,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.3,kbbl/d,42.0,99.55,179.3,18.33,0,4.78,113.1
129,2026-03-09,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.21,kbbl/d,42.0,96.75,161.9,17.16,0,4.78,113.1
130,2026-03-10,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.09,kbbl/d,42.0,93.96,112.1,16.01,0,4.78,113.1
131,2026-03-11,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.85,kbbl/d,42.0,95.21,165.1,17.58,0,4.78,113.1
132,2026-03-12,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.02,kbbl/d,42.0,95.91,137.8,16.44,0,4.78,113.1
133,2026-03-13,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.81,kbbl/d,42.0,95.87,152.3,17.38,0,4.78,113.1
134,2026-03-14,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.39,kbbl/d,42.0,96.94,136.7,19.48,0,4.78,113.1
135,2026-03-15,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.48,kbbl/d,42.0,99.48,151.5,18.62,0,4.78,113.1
136,2026-03-16,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.29,kbbl/d,42.0,98.09,150.1,16.47,0,4.78,113.1
137,2026-03-17,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.55,kbbl/d,42.0,95.92,94.1,16.73,0,4.78,113.1
138,2026-03-18,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.66,kbbl/d,42.0,96.01,162.7,18.57,0,4.78,113.1
139,2026-03-19,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,44.05,kbbl/d,42.0,98.23,179.5,20.32,0,4.78,113.1
140,2026-03-20,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.83,kbbl/d,42.0,98.88,158.8,20.36,0,4.78,113.1
141,2026-03-21,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.32,kbbl/d,42.0,95.41,105.7,16.15,0,4.78,113.1
142,2026-03-22,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.35,kbbl/d,42.0,94.6,144.8,17.48,0,4.78,113.1
143,2026-03-23,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.16,kbbl/d,42.0,95.61,140.1,16.56,0,4.78,113.1
144,2026-03-24,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.09,kbbl/d,42.0,94.47,102.2,18.72,0,4.78,113.1
145,2026-03-25,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.4,kbbl/d,42.0,97.39,182.2,20.49,0,4.78,113.1
146,2026-03-26,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.14,kbbl/d,42.0,96.39,145.0,19.54,0,4.78,113.1
147,2026-03-27,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.74,kbbl/d,42.0,97.19,142.2,17.9,0,4.78,113.1
148,2026-03-28,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.23,kbbl/d,42.0,98.42,154.5,19.4,0,4.78,113.1
149,2026-03-29,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.32,kbbl/d,42.0,97.73,130.2,20.74,0,4.78,113.1
150,2026-03-30,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.25,kbbl/d,42.0,93.86,120.4,18.83,0,4.78,113.1
151,2026-03-31,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.26,kbbl/d,42.0,95.62,180.2,18.69,0,4.78,113.1
152,2026-04-01,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.06,kbbl/d,42.0,95.1,156.7,18.02,0,4.78,113.1
153,2026-04-02,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.93,kbbl/d,42.0,97.31,140.1,19.02,0,4.78,113.1
154,2026-04-03,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.4,kbbl/d,42.0,96.07,161.4,18.51,0,4.78,113.1
155,2026-04-04,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.34,kbbl/d,42.0,95.27,145.4,16.68,0,4.78,113.1
156,2026-04-05,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.98,kbbl/d,42.0,98.85,162.3,17.54,0,4.78,113.1
157,2026-04-06,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.97,kbbl/d,42.0,95.03,121.8,19.19,0,4.78,113.1
158,2026-04-07,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.82,kbbl/d,42.0,96.6,173.0,17.95,0,4.78,113.1
159,2026-04-08,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,44.29,kbbl/d,42.0,99.64,135.2,21.09,0,4.78,113.1
160,2026-04-09,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.8,kbbl/d,42.0,99.2,134.3,18.92,0,4.78,113.1
161,2026-04-10,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.21,kbbl/d,42.0,95.28,150.3,18.08,0,4.78,113.1
162,2026-04-11,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.05,kbbl/d,42.0,94.69,136.6,17.38,0,4.78,113.1
163,2026-04-12,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.93,kbbl/d,42.0,99.09,156.4,18.29,0,4.78,113.1
164,2026-04-13,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.38,kbbl/d,42.0,100.0,178.8,19.08,0,4.78,113.1
